"id","account_id","occurred_at","standard_qty","gloss_qty","poster_qty","total","standard_amt_usd","gloss_amt_usd","poster_amt_usd","total_amt_usd"
67,1091,"2015-04-07 13:29:20",95,0,0,95,"474.05","0.00","0.00","474.05"
96,1101,"2016-03-15 11:36:03",14,8,16,38,"69.86","59.92","129.92","259.70"
119,1131,"2016-06-12 12:29:45",0,30,23,53,"0.00","224.70","186.76","411.46"
124,1131,"2016-11-07 05:10:56",0,0,0,0,"0.00","0.00","0.00","0.00"
254,1251,"2014-11-01 02:15:24",0,0,17,17,"0.00","0.00","138.04","138.04"
328,1291,"2015-08-03 08:35:23",0,19,21,40,"0.00","142.31","170.52","312.83"
542,1421,"2015-11-13 09:07:09",0,64,0,64,"0.00","479.36","0.00","479.36"
683,1501,"2016-04-14 23:59:50",0,15,16,31,"0.00","112.35","129.92","242.27"
713,1521,"2014-11-23 16:04:03",0,8,10,18,"0.00","59.92","81.20","141.12"
730,1521,"2016-05-06 02:34:48",0,0,2,2,"0.00","0.00","16.24","16.24"
